anime_id,name,link
1535,Death Note,https://myanimelist.net/anime/1535/Death_Note
16498,Shingeki no Kyojin,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
11757,Sword Art Online,https://myanimelist.net/anime/11757/Sword_Art_Online
5114,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
30276,One Punch Man,https://myanimelist.net/anime/30276/One_Punch_Man
22319,Tokyo Ghoul,https://myanimelist.net/anime/22319/Tokyo_Ghoul
31964,Boku no Hero Academia,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia
9253,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate
19815,No Game No Life,https://myanimelist.net/anime/19815/No_Game_No_Life
20,Naruto,https://myanimelist.net/anime/20/Naruto
32281,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
6547,Angel Beats!,https://myanimelist.net/anime/6547/Angel_Beats
1575,Code Geass: Hangyaku no Lelouch,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
10620,Mirai Nikki,https://myanimelist.net/anime/10620/Mirai_Nikki
4224,Toradora!,https://myanimelist.net/anime/4224/Toradora
11061,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
20507,Noragami,https://myanimelist.net/anime/20507/Noragami
33486,Boku no Hero Academia 2nd Season,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season
1735,Naruto: Shippuuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden
21881,Sword Art Online II,https://myanimelist.net/anime/21881/Sword_Art_Online_II
9919,Ao no Exorcist,https://myanimelist.net/anime/9919/Ao_no_Exorcist
31240,Re:Zero kara Hajimeru Isekai Seikatsu,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu
25777,Shingeki no Kyojin Season 2,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
23273,Shigatsu wa Kimi no Uso,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
22199,Akame ga Kill!,https://myanimelist.net/anime/22199/Akame_ga_Kill
6702,Fairy Tail,https://myanimelist.net/anime/6702/Fairy_Tail
23755,Nanatsu no Taizai,https://myanimelist.net/anime/23755/Nanatsu_no_Taizai
269,Bleach,https://myanimelist.net/anime/269/Bleach
31043,Boku dake ga Inai Machi,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi
18679,Kill la Kill,https://myanimelist.net/anime/18679/Kill_la_Kill
2904,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
21,One Piece,https://myanimelist.net/anime/21/One_Piece
2001,Tengen Toppa Gurren Lagann,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
3588,Soul Eater,https://myanimelist.net/anime/3588/Soul_Eater
226,Elfen Lied,https://myanimelist.net/anime/226/Elfen_Lied
13601,Psycho-Pass,https://myanimelist.net/anime/13601/Psycho-Pass
28851,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi
1,Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop
11111,Another,https://myanimelist.net/anime/11111/Another
199,Sen to Chihiro no Kamikakushi,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
30831,Kono Subarashii Sekai ni Shukufuku wo!,https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo
22535,Kiseijuu: Sei no Kakuritsu,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu
27899,Tokyo Ghoul √A,https://myanimelist.net/anime/27899/Tokyo_Ghoul_√A
36456,Boku no Hero Academia 3rd Season,https://myanimelist.net/anime/36456/Boku_no_Hero_Academia_3rd_Season
121,Fullmetal Alchemist,https://myanimelist.net/anime/121/Fullmetal_Alchemist
28223,Death Parade,https://myanimelist.net/anime/28223/Death_Parade
24833,Ansatsu Kyoushitsu,https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu
32182,Mob Psycho 100,https://myanimelist.net/anime/32182/Mob_Psycho_100
8074,Highschool of the Dead,https://myanimelist.net/anime/8074/Highschool_of_the_Dead
6746,Durarara!!,https://myanimelist.net/anime/6746/Durarara
28171,Shokugeki no Souma,https://myanimelist.net/anime/28171/Shokugeki_no_Souma
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai
2167,Clannad,https://myanimelist.net/anime/2167/Clannad
30,Neon Genesis Evangelion,https://myanimelist.net/anime/30/Neon_Genesis_Evangelion
38000,Kimetsu no Yaiba,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
10087,Fate/Zero,https://myanimelist.net/anime/10087/Fate_Zero
5081,Bakemonogatari,https://myanimelist.net/anime/5081/Bakemonogatari
15809,Hataraku Maou-sama!,https://myanimelist.net/anime/15809/Hataraku_Maou-sama
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,https://myanimelist.net/anime/28121/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka
20583,Haikyuu!!,https://myanimelist.net/anime/20583/Haikyuu
30503,Noragami Aragoto,https://myanimelist.net/anime/30503/Noragami_Aragoto
29803,Overlord,https://myanimelist.net/anime/29803/Overlord
9756,Mahou Shoujo Madoka★Magica,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica
28999,Charlotte,https://myanimelist.net/anime/28999/Charlotte
10793,Guilty Crown,https://myanimelist.net/anime/10793/Guilty_Crown
11617,High School DxD,https://myanimelist.net/anime/11617/High_School_DxD
6880,Deadman Wonderland,https://myanimelist.net/anime/6880/Deadman_Wonderland
35760,Shingeki no Kyojin Season 3,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
33352,Violet Evergarden,https://myanimelist.net/anime/33352/Violet_Evergarden
4181,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,https://myanimelist.net/anime/32937/Kono_Subarashii_Sekai_ni_Shukufuku_wo_2
14741,Chuunibyou demo Koi ga Shitai!,https://myanimelist.net/anime/14741/Chuunibyou_demo_Koi_ga_Shitai
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru
13759,Sakura-sou no Pet na Kanojo,https://myanimelist.net/anime/13759/Sakura-sou_no_Pet_na_Kanojo
12189,Hyouka,https://myanimelist.net/anime/12189/Hyouka
34134,One Punch Man 2nd Season,https://myanimelist.net/anime/34134/One_Punch_Man_2nd_Season
205,Samurai Champloo,https://myanimelist.net/anime/205/Samurai_Champloo
17265,Log Horizon,https://myanimelist.net/anime/17265/Log_Horizon
813,Dragon Ball Z,https://myanimelist.net/anime/813/Dragon_Ball_Z
4898,Kuroshitsuji,https://myanimelist.net/anime/4898/Kuroshitsuji
14719,JoJo no Kimyou na Bouken (TV),https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV
164,Mononoke Hime,https://myanimelist.net/anime/164/Mononoke_Hime
26243,Owari no Seraph,https://myanimelist.net/anime/26243/Owari_no_Seraph
35849,Darling in the FranXX,https://myanimelist.net/anime/35849/Darling_in_the_FranXX
7054,Kaichou wa Maid-sama!,https://myanimelist.net/anime/7054/Kaichou_wa_Maid-sama
37779,Yakusoku no Neverland,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
18153,Kyoukai no Kanata,https://myanimelist.net/anime/18153/Kyoukai_no_Kanata
18897,Nisekoi,https://myanimelist.net/anime/18897/Nisekoi
23283,Zankyou no Terror,https://myanimelist.net/anime/23283/Zankyou_no_Terror
853,Ouran Koukou Host Club,https://myanimelist.net/anime/853/Ouran_Koukou_Host_Club
30654,Ansatsu Kyoushitsu 2nd Season,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
431,Howl no Ugoku Shiro,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
34599,Made in Abyss,https://myanimelist.net/anime/34599/Made_in_Abyss
11741,Fate/Zero 2nd Season,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
35790,Tate no Yuusha no Nariagari,https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari
2025,Darker than Black: Kuro no Keiyakusha,https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha
11771,Kuroko no Basket,https://myanimelist.net/anime/11771/Kuroko_no_Basket
38524,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
849,Suzumiya Haruhi no Yuuutsu,https://myanimelist.net/anime/849/Suzumiya_Haruhi_no_Yuuutsu
5680,K-On!,https://myanimelist.net/anime/5680/K-On
14513,Magi: The Labyrinth of Magic,https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic
38691,Dr. Stone,https://myanimelist.net/anime/38691/Dr_Stone
