anime_id,titles,rating,members,genres
1535,"Death Note,DN",8.63,2182694,"Mystery,Police,Psychological,Supernatural,Thriller,Shounen"
16498,"Shingeki no Kyojin,Attack on Titan,AoT",8.44,2070750,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen"
11757,"Sword Art Online,S.A.O,SAO",7.33,1915500,"Action,Adventure,Fantasy,Game,Romance"
5114,"Fullmetal Alchemist: Brotherhood,Hagane no Renkinjutsushi: Fullmetal Alchemist,Fullmetal Alchemist (2009),FMA,FMAB",9.22,1901638,"Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen"
30276,"One Punch Man,One Punch-Man,One-Punch Man,OPM",8.62,1777567,"Action,Sci-Fi,Comedy,Parody,Super Power,Supernatural"
22319,"Tokyo Ghoul,Tokyo Kushu,Toukyou Kushu,Toukyou Ghoul",7.83,1590117,"Action,Mystery,Horror,Psychological,Supernatural,Drama,Seinen"
31964,"Boku no Hero Academia,My Hero Academia",8.21,1545329,"Action,Comedy,School,Shounen,Super Power"
9253,Steins;Gate,9.13,1544215,"Thriller,Sci-Fi"
19815,"No Game No Life,No Game,No Life,NGNL",8.26,1516667,"Game,Adventure,Comedy,Supernatural,Ecchi,Fantasy"
20,"Naruto,NARUTO",7.88,1519612,"Action,Adventure,Comedy,Super Power,Martial Arts,Shounen"
32281,"Kimi no Na wa.,Your Name.",9.02,1413458,"Romance,Supernatural,School,Drama"
6547,Angel Beats!,8.19,1410777,"Action,Comedy,Drama,School,Supernatural"
1575,"Code Geass: Hangyaku no Lelouch,Code Geass: Lelouch of the Rebellion",8.73,1394522,"Action,Military,Sci-Fi,Super Power,Drama,Mecha,School"
10620,"Mirai Nikki,The Future Diary,Mirai Nikki,Mirai Nikki (2011)",7.62,1361964,"Action,Mystery,Psychological,Shounen,Supernatural,Thriller"
4224,"Toradora!,Tiger X Dragon",8.29,1327207,"Slice of Life,Comedy,Romance,School"
11061,"Hunter x Hunter (2011),Hunter x Hunter,HxH (2011)",9.12,1323091,"Action,Adventure,Fantasy,Shounen,Super Power"
20507,"Noragami,Noragami: Stray God",8.04,1319898,"Action,Adventure,Comedy,Supernatural,Shounen"
33486,"Boku no Hero Academia 2nd Season,My Hero Academia 2",8.45,1305981,"Action,Comedy,Super Power,School,Shounen"
1735,"Naruto: Shippuuden,Naruto: Shippuden,Naruto Hurricane Chronicles",8.15,1266696,"Action,Adventure,Comedy,Super Power,Martial Arts,Shounen"
21881,"Sword Art Online II,Phantom Bullet,SAO II,Sword Art Online 2,SAO 2",6.89,1245940,"Action,Game,Adventure,Romance,Fantasy"
9919,"Ao no Exorcist,Blue Exorcist,Ao no Futsumashi",7.65,1240985,"Action,Demons,Fantasy,Shounen,Supernatural"
31240,"Re:Zero kara Hajimeru Isekai Seikatsu,Re:ZERO -Starting Life in Another World-,Re: Life in a different world from zero,Re:Zero,ReZero",8.30,1238794,"Psychological,Drama,Thriller,Fantasy"
25777,"Shingeki no Kyojin Season 2,Attack on Titan Season 2",8.39,1219759,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen"
23273,"Shigatsu wa Kimi no Uso,Your Lie in April",8.79,1199595,"Drama,Music,Romance,School,Shounen"
22199,"Akame ga Kill!,Akame ga Kiru!",7.59,1191485,"Action,Adventure,Drama,Fantasy,Shounen"
6702,Fairy Tail,7.76,1165655,"Action,Adventure,Comedy,Magic,Fantasy,Shounen"
23755,"Nanatsu no Taizai,The Seven Deadly Sins,Nanatsu no Taizai",8.01,1160366,"Action,Adventure,Ecchi,Fantasy,Magic,Shounen,Supernatural"
269,Bleach,7.80,1134312,"Action,Adventure,Comedy,Super Power,Supernatural,Shounen"
31043,"Boku dake ga Inai Machi,ERASED,The Town Where Only I am Missing,BokuMachi",8.41,1131844,"Mystery,Psychological,Supernatural,Seinen"
18679,"Kill la Kill,KILL la KILL,KLK,Dressed to Kill",8.13,1125495,"Action,Comedy,Super Power,Ecchi,School"
2904,"Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2,Code Geass: Hangyaku no Lelouch 2nd Season,Code Geass: Hangyaku no Lelouch Second Season",8.91,1121780,"Action,Military,Sci-Fi,Super Power,Drama,Mecha"
21,"One Piece,OP",8.48,1112667,"Action,Adventure,Comedy,Super Power,Drama,Fantasy,Shounen"
2001,"Tengen Toppa Gurren Lagann,Gurren Lagann,Tengen Toppa Gurren-Lagann,Making Break-Through Gurren Lagann,Heavenly Breakthrough Gurren Lagann,TTGL,Gurren Laggan",8.68,1096296,"Action,Adventure,Comedy,Mecha,Sci-Fi"
3588,Soul Eater,7.92,1091415,"Action,Fantasy,Comedy,Supernatural,Shounen"
226,"Elfen Lied,Elfen Song,Elfic Song",7.60,1088551,"Action,Horror,Psychological,Supernatural,Drama,Romance,Seinen"
13601,"Psycho-Pass,Psychopath",8.40,1084735,"Action,Sci-Fi,Police,Psychological"
28851,"Koe no Katachi,A Silent Voice,The Shape of Voice",9.01,1084830,"Drama,School,Shounen"
1,Cowboy Bebop,8.79,1077619,"Action,Adventure,Comedy,Drama,Sci-Fi,Space"
11111,Another,7.59,1074546,"Mystery,Horror,Supernatural,Thriller,School"
199,"Sen to Chihiro no Kamikakushi,Spirited Away,Sen and Chihiro's Spiriting Away",8.85,1075162,"Adventure,Supernatural,Drama"
30831,"Kono Subarashii Sekai ni Shukufuku wo!,KonoSuba: God's Blessing on This Wonderful World!,Give Blessings to This Wonderful World!",8.16,1068729,"Adventure,Comedy,Fantasy,Magic,Parody,Supernatural"
22535,"Kiseijuu: Sei no Kakuritsu,Parasyte -the maxim-,Parasite,Parasitic Beasts,Parasyte",8.43,1059891,"Action,Sci-Fi,Horror,Psychological,Drama,Seinen"
27899,"Tokyo Ghoul √A,Tokyo Ghoul Root A,Tokyo Ghoul 2nd Season,Tokyo Ghoul Second Season",7.13,1050163,"Action,Mystery,Horror,Psychological,Supernatural,Drama,Seinen"
36456,"Boku no Hero Academia 3rd Season,My Hero Academia 3",8.38,1049958,"Action,Comedy,Super Power,School,Shounen"
121,"Fullmetal Alchemist,Hagane no Renkinjutsushi,FMA,Full Metal Alchemist",8.20,1047803,"Action,Adventure,Comedy,Drama,Fantasy,Magic,Military,Shounen"
28223,Death Parade,8.21,1026616,"Game,Mystery,Psychological,Drama,Thriller"
24833,"Ansatsu Kyoushitsu,Assassination Classroom,Ansatsu Kyoushitsu",8.14,1021354,"Action,Comedy,School,Shounen"
32182,"Mob Psycho 100,Mob Psycho Hyaku,Mob Psycho One Hundred",8.50,1017858,"Action,Slice of Life,Comedy,Supernatural"
8074,"Highschool of the Dead,High School of the Dead,Gakuen Mokushiroku: Highschool of the Dead,HOTD,HSOTD",7.19,1006342,"Action,Horror,Supernatural,Ecchi,Shounen"
6746,"Durarara!!,Dhurarara!!,Dyurarara!!,Dulalala!!,Dullalala!!,DRRR!!",8.21,1004110,"Action,Mystery,Supernatural"
28171,"Shokugeki no Souma,Food Wars! Shokugeki no Soma,Shokugeki no Soma,Food Wars: Shokugeki no Soma",8.37,997774,"Ecchi,School,Shounen"
9989,"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,anohana: The Flower We Saw That Day,AnoHana,We Still Don't Know the Name of the Flower We Saw That Day.",8.46,993582,"Slice of Life,Supernatural,Drama"
2167,Clannad,8.10,987086,"Comedy,Drama,Romance,School,Slice of Life,Supernatural"
30,"Neon Genesis Evangelion,Shinseiki Evangelion",8.31,982606,"Action,Dementia,Drama,Mecha,Psychological,Sci-Fi"
38000,"Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,Blade of Demon Destruction",8.71,979214,"Action,Demons,Historical,Shounen,Supernatural"
10087,Fate/Zero,8.37,962230,"Action,Supernatural,Magic,Fantasy"
5081,"Bakemonogatari,Ghostory",8.36,946067,"Romance,Supernatural,Mystery,Vampire"
15809,"Hataraku Maou-sama!,The Devil is a Part-Timer!,Hataraku Maou-sama!",7.86,930486,"Comedy,Demons,Supernatural,Romance,Fantasy"
28121,"Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Is It Wrong to Try to Pick Up Girls in a Dungeon?,DanMachi,Is It Wrong That I Want to Meet You in a Dungeon",7.69,920992,"Action,Adventure,Comedy,Romance,Fantasy"
20583,"Haikyuu!!,Haikyu!!,High Kyuu!!,HQ!!",8.58,906485,"Comedy,Sports,Drama,School,Shounen"
30503,Noragami Aragoto,8.26,892665,"Action,Adventure,Comedy,Supernatural,Shounen"
29803,Overlord,7.99,887733,"Action,Adventure,Fantasy,Game,Magic,Supernatural"
9756,"Mahou Shoujo Madoka★Magica,Puella Magi Madoka Magica,Mahou Shoujo Madoka Magika,Magical Girl Madoka Magica",8.39,878033,"Psychological,Drama,Magic,Thriller"
28999,Charlotte,7.80,875675,"Drama,School,Super Power"
10793,"Guilty Crown,GUILTY CROWN",7.57,867228,"Action,Sci-Fi,Super Power,Drama,Romance,Mecha"
11617,"High School DxD,Highschool DxD",7.43,864069,"Comedy,Demons,Ecchi,Harem,Romance,School"
6880,"Deadman Wonderland,DEADMAN WONDERLAND",7.26,853263,"Action,Sci-Fi,Horror,Shounen"
35760,"Shingeki no Kyojin Season 3,Attack on Titan Season 3",8.51,846958,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen"
33352,Violet Evergarden,8.62,823897,"Slice of Life,Drama,Fantasy"
4181,"Clannad: After Story,Clannad ~After Story~",8.97,823708,"Slice of Life,Comedy,Supernatural,Drama,Romance"
32937,"Kono Subarashii Sekai ni Shukufuku wo! 2,KonoSuba: God's Blessing on This Wonderful World! 2,Give Blessings to This Wonderful World! 2",8.33,823156,"Adventure,Comedy,Parody,Supernatural,Magic,Fantasy"
14741,"Chuunibyou demo Koi ga Shitai!,Love,Chunibyo & Other Delusions!,Chu-2 Byo demo Koi ga Shitai!,Regardless of My Adolescent Delusions of Grandeur,I Want a Date!",7.79,822021,"Slice of Life,Comedy,Drama,Romance,School"
14813,"Yahari Ore no Seishun Love Comedy wa Machigatteiru.,My Teen Romantic Comedy SNAFU,Oregairu,My youth romantic comedy is wrong as I expected.",8.08,821378,"Slice of Life,Comedy,Drama,Romance,School"
13759,"Sakura-sou no Pet na Kanojo,The Pet Girl of Sakurasou,Sakurasou no Pet na Kanojo",8.23,804091,"Slice of Life,Comedy,Drama,Romance,School"
12189,"Hyouka,Hyou-ka,Hyouka: You can't escape,Hyou-ka: You can't escape,Hyoka",8.15,802095,"Mystery,School,Slice of Life"
34134,"One Punch Man 2nd Season,One Punch-Man 2,One-Punch Man 2,OPM 2",7.41,788482,"Action,Sci-Fi,Comedy,Parody,Super Power,Supernatural"
205,"Samurai Champloo,SAMURAI CHAMPLOO",8.50,786247,"Action,Adventure,Comedy,Historical,Samurai,Shounen"
17265,Log Horizon,8.02,781130,"Action,Game,Adventure,Magic,Fantasy"
813,"Dragon Ball Z,DBZ,Dragonball Z",8.19,779703,"Action,Adventure,Comedy,Fantasy,Martial Arts,Shounen,Super Power"
4898,"Kuroshitsuji,Black Butler,Kuro Shitsuji,Kuroshitsuzi",7.80,773701,"Action,Mystery,Comedy,Historical,Demons,Supernatural,Shounen"
14719,"JoJo no Kimyou na Bouken (TV),JoJo's Bizarre Adventure,JoJo no Kimyou na Bouken (2012)",8.17,770540,"Action,Adventure,Supernatural,Vampire,Shounen"
164,"Mononoke Hime,Princess Mononoke,Mononoke Hime",8.74,765123,"Action,Adventure,Fantasy"
26243,"Owari no Seraph,Seraph of the End: Vampire Reign,Seraph of the End",7.51,758839,"Action,Military,Supernatural,Drama,Vampire,Shounen"
35849,"Darling in the FranXX,DARLING in the FRANXX",7.36,754952,"Action,Drama,Mecha,Romance,Sci-Fi"
7054,"Kaichou wa Maid-sama!,Maid Sama!,Class President is a Maid!",8.09,751617,"Comedy,Romance,School,Shoujo"
37779,"Yakusoku no Neverland,The Promised Neverland",8.66,751072,"Sci-Fi,Mystery,Horror,Psychological,Thriller,Shounen"
18153,"Kyoukai no Kanata,Beyond the Boundary,Beyond the Horizon",7.80,749059,"Slice of Life,Supernatural,Fantasy"
18897,"Nisekoi,Nisekoi: False Love,Nisekoi",7.68,746375,"Harem,Comedy,Romance,School,Shounen"
23283,"Zankyou no Terror,Terror in Resonance,Terror in Tokyo,Terror of Resonance",8.14,729083,"Mystery,Psychological,Thriller"
853,"Ouran Koukou Host Club,Ouran High School Host Club,Ohran Koko Host Club,Ouran Koukou Hosutobu,Ouran Koukou Host Bu,OHSHC",8.22,726932,"Comedy,Harem,Romance,School,Shoujo"
30654,"Ansatsu Kyoushitsu 2nd Season,Assassination Classroom Second Season,Ansatsu Kyoushitsu Season 2,Ansatsu Kyoushitsu Final Season",8.56,726180,"Action,Comedy,School,Shounen"
431,"Howl no Ugoku Shiro,Howl's Moving Castle",8.68,724070,"Adventure,Drama,Fantasy,Romance"
34599,Made in Abyss,8.78,721582,"Sci-Fi,Adventure,Mystery,Drama,Fantasy"
11741,"Fate/Zero 2nd Season,Fate/Zero Season 2,Fate/Zero Second Season",8.61,719269,"Action,Supernatural,Magic,Fantasy"
35790,"Tate no Yuusha no Nariagari,The Rising of the Shield Hero",8.01,706734,"Action,Adventure,Drama,Fantasy"
2025,"Darker than Black: Kuro no Keiyakusha,Darker than Black,DTB",8.14,706578,"Action,Sci-Fi,Mystery,Super Power"
11771,"Kuroko no Basket,Kuroko's Basketball,Kuroko no Basuke,KuroBas",8.20,704638,"Comedy,School,Shounen,Sports"
38524,"Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2",9.07,698370,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen"
849,"Suzumiya Haruhi no Yuuutsu,The Melancholy of Haruhi Suzumiya,Suzumiya Haruhi no Yuuutsu",7.90,693678,"Comedy,Mystery,Parody,School,Sci-Fi,Slice of Life"
5680,"K-On!,K-ON!,Keion,K-ON! Season 1",7.84,688624,"Music,Slice of Life,Comedy,School"
14513,"Magi: The Labyrinth of Magic,Magi Season 1",8.10,684703,"Action,Adventure,Fantasy,Magic,Shounen"
38691,Dr. Stone,8.37,680169,"Adventure,Sci-Fi,Shounen"
32282,"Shokugeki no Souma: Ni no Sara,Food Wars! The Second Plate,Shokugeki no Souma 2nd Season,Shokugeki no Soma 2,Food Wars: Shokugeki no Soma 2,Shokugeki no Soma: The Second Plate",8.29,678250,"Ecchi,School,Shounen"
38408,"Boku no Hero Academia 4th Season,My Hero Academia 4",8.17,677472,"Action,Comedy,School,Shounen,Super Power"
14227,"Tonari no Kaibutsu-kun,My Little Monster,Tonari no Kaibutsukun,The Monster Next Door,My Neighbor Monster-kun",7.59,670767,"Slice of Life,Comedy,Romance,School,Shoujo"
37450,"Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Rascal Does Not Dream of Bunny Girl Senpai,AoButa",8.40,670710,"Comedy,Romance,School,Supernatural"
356,"Fate/stay night,Fate - Stay Night",7.38,666374,"Action,Supernatural,Magic,Romance,Fantasy"
37999,"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kaguya-sama: Love is War,Kaguya Wants to be Confessed To: The Geniuses' War of Love and Brains",8.44,664336,"Comedy,Psychological,Romance,School,Seinen"
918,"Gintama,Gin Tama,Silver Soul,Yorinuki Gintama-san",8.97,661527,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen"
28891,"Haikyuu!! Second Season,Haikyu!! 2nd Season,Haikyuu!! Second Season",8.79,660935,"Comedy,Sports,Drama,School,Shounen"
20785,"Mahouka Koukou no Rettousei,The Irregular at Magic High School",7.59,651757,"Action,Sci-Fi,Supernatural,Magic,Romance,School"
33206,"Kobayashi-san Chi no Maid Dragon,Miss Kobayashi's Dragon Maid,The maid dragon of Kobayashi-san",8.06,647933,"Slice of Life,Comedy,Fantasy"
2251,Baccano!,8.42,646105,"Action,Comedy,Historical,Mystery,Supernatural"
223,"Dragon Ball,Dragonball,DB",8.03,644409,"Adventure,Comedy,Fantasy,Martial Arts,Shounen,Super Power"
22297,"Fate/stay night: Unlimited Blade Works,Fate/stay night [Unlimited Blade Works],Fate/stay night (2014),Fate - Stay Night",8.24,642023,"Action,Fantasy,Magic,Supernatural"
20787,Black Bullet,7.22,641662,"Action,Sci-Fi,Mystery,Seinen"
37510,"Mob Psycho 100 II,Mob Psycho 100 2nd Season,Mob Psycho Hyaku,Mob Psycho One Hundred",8.87,637042,"Action,Slice of Life,Comedy,Supernatural"
15583,Date A Live,7.27,632278,"Sci-Fi,Harem,Comedy,Romance,Mecha,School"
